Year,Gebietseinheit,Aufenthaltstitel,GeoCode,Value
2019,Braunschweig Stadt,Asylberechtigte und GFK-Flüchtlinge,K03101,5010
2019,Salzgitter Stadt,Asylberechtigte und GFK-Flüchtlinge,K03102,5510
2019,Wolfsburg Stadt,Asylberechtigte und GFK-Flüchtlinge,K03103,3680
2019,Gifhorn,Asylberechtigte und GFK-Flüchtlinge,K03151,2850
2019,Goslar,Asylberechtigte und GFK-Flüchtlinge,K03153,3180
2019,Helmstedt,Asylberechtigte und GFK-Flüchtlinge,K03154,1630
2019,Northeim,Asylberechtigte und GFK-Flüchtlinge,K03155,2790
2019,Peine,Asylberechtigte und GFK-Flüchtlinge,K03157,3280
2019,Wolfenbüttel,Asylberechtigte und GFK-Flüchtlinge,K03158,2230
2019,Göttingen,Asylberechtigte und GFK-Flüchtlinge,K03159,6445
2019,Statistische Region Braunschweig,Asylberechtigte und GFK-Flüchtlinge,K031,36610
2019,Hannover Region,Asylberechtigte und GFK-Flüchtlinge,K03241,41725
2019,Hannover Landeshauptstadt,Asylberechtigte und GFK-Flüchtlinge,K03241001,21345
2019,Diepholz,Asylberechtigte und GFK-Flüchtlinge,K03251,5170
2019,Hameln-Pyrmont,Asylberechtigte und GFK-Flüchtlinge,K03252,4980
2019,Hildesheim,Asylberechtigte und GFK-Flüchtlinge,K03254,6770
2019,Holzminden,Asylberechtigte und GFK-Flüchtlinge,K03255,1185
2019,Nienburg (Weser),Asylberechtigte und GFK-Flüchtlinge,K03256,3370
2019,Schaumburg,Asylberechtigte und GFK-Flüchtlinge,K03257,4120
2019,Statistische Region Hannover,Asylberechtigte und GFK-Flüchtlinge,K032,67310
2019,Celle,Asylberechtigte und GFK-Flüchtlinge,K03351,4700
2019,Cuxhaven,Asylberechtigte und GFK-Flüchtlinge,K03352,3550
2019,Harburg,Asylberechtigte und GFK-Flüchtlinge,K03353,4120
2019,Lüchow-Dannenberg,Asylberechtigte und GFK-Flüchtlinge,K03354,655
2019,Lüneburg,Asylberechtigte und GFK-Flüchtlinge,K03355,4090
2019,Osterholz,Asylberechtigte und GFK-Flüchtlinge,K03356,2080
2019,Rotenburg (Wümme),Asylberechtigte und GFK-Flüchtlinge,K03357,2925
2019,Heidekreis,Asylberechtigte und GFK-Flüchtlinge,K03358,2800
2019,Stade,Asylberechtigte und GFK-Flüchtlinge,K03359,4830
2019,Uelzen,Asylberechtigte und GFK-Flüchtlinge,K03360,1510
2019,Verden,Asylberechtigte und GFK-Flüchtlinge,K03361,3310
2019,Statistische Region Lüneburg,Asylberechtigte und GFK-Flüchtlinge,K033,34575
2019,Delmenhorst.Stadt,Asylberechtigte und GFK-Flüchtlinge,K03401,3405
2019,Emden Stadt,Asylberechtigte und GFK-Flüchtlinge,K03402,1470
2019,Oldenburg (Oldb) Stadt,Asylberechtigte und GFK-Flüchtlinge,K03403,5915
2019,Osnabrück Stadt,Asylberechtigte und GFK-Flüchtlinge,K03404,5655
2019,Wilhelmshaven Stadt,Asylberechtigte und GFK-Flüchtlinge,K03405,2870
2019,Ammerland,Asylberechtigte und GFK-Flüchtlinge,K03451,2650
2019,Aurich,Asylberechtigte und GFK-Flüchtlinge,K03452,3305
2019,Cloppenburg,Asylberechtigte und GFK-Flüchtlinge,K03453,3420
2019,Emsland,Asylberechtigte und GFK-Flüchtlinge,K03454,6350
2019,Friesland,Asylberechtigte und GFK-Flüchtlinge,K03455,1985
2019,Grafschaft Bentheim,Asylberechtigte und GFK-Flüchtlinge,K03456,2560
2019,Leer,Asylberechtigte und GFK-Flüchtlinge,K03457,3700
2019,Oldenburg,Asylberechtigte und GFK-Flüchtlinge,K03458,2820
2019,Osnabrück,Asylberechtigte und GFK-Flüchtlinge,K03459,4950
2019,Vechta,Asylberechtigte und GFK-Flüchtlinge,K03460,4105
2019,Wesermarsch,Asylberechtigte und GFK-Flüchtlinge,K03461,1590
2019,Wittmund,Asylberechtigte und GFK-Flüchtlinge,K03462,845
2019,Statistische Region Weser-Ems,Asylberechtigte und GFK-Flüchtlinge,K034,57595
2019,Niedersachsen,Asylberechtigte und GFK-Flüchtlinge,K030,196090
2018,Braunschweig Stadt,Asylberechtigte und GFK-Flüchtlinge,K03101,3960
2018,Salzgitter Stadt,Asylberechtigte und GFK-Flüchtlinge,K03102,5060
2018,Wolfsburg Stadt,Asylberechtigte und GFK-Flüchtlinge,K03103,3490
2018,Gifhorn,Asylberechtigte und GFK-Flüchtlinge,K03151,2770
2018,Göttingen,Asylberechtigte und GFK-Flüchtlinge,K03159,3095
2018,Goslar,Asylberechtigte und GFK-Flüchtlinge,K03153,1685
2018,Helmstedt,Asylberechtigte und GFK-Flüchtlinge,K03154,2875
2018,Northeim,Asylberechtigte und GFK-Flüchtlinge,K03155,3145
2018,Peine,Asylberechtigte und GFK-Flüchtlinge,K03157,2270
2018,Wolfenbüttel,Asylberechtigte und GFK-Flüchtlinge,K03158,6635
2018,Statistische Region Braunschweig,Asylberechtigte und GFK-Flüchtlinge,K031,34985
2018,Hannover Region,Asylberechtigte und GFK-Flüchtlinge,K03241,39230
2018,Hannover Landeshauptstadt,Asylberechtigte und GFK-Flüchtlinge,K03241001,19410
2018,Diepholz,Asylberechtigte und GFK-Flüchtlinge,K03251,5245
2018,Hameln-Pyrmont,Asylberechtigte und GFK-Flüchtlinge,K03252,4715
2018,Hildesheim,Asylberechtigte und GFK-Flüchtlinge,K03254,6600
